list_id,hts8,year,active_301_rate
list1,8429.11.00,2022,0.25
list1,8429.11.00,2023,0.25
list1,8429.11.00,2024,0.25
list1,8429.11.00,2025,0.25
list1,8402.20.00,2016,0.0
list1,8402.20.00,2017,0.0
list1,8402.20.00,2018,0.125
list1,8402.20.00,2019,0.25
list1,8402.20.00,2020,0.25
list1,8402.20.00,2021,0.25
list1,8402.20.00,2022,0.25
list1,8402.20.00,2023,0.25
list1,8402.20.00,2024,0.25
list1,8402.20.00,2025,0.25
list1,8412.90.10,2016,0.0
list1,8412.90.10,2017,0.0
list1,8412.90.10,2018,0.125
list1,8412.90.10,2019,0.25
list1,8412.90.10,2020,0.25
list1,8412.90.10,2021,0.25
list1,8412.90.10,2022,0.25
list1,8412.90.10,2023,0.25
list1,8412.90.10,2024,0.25
list1,8412.90.10,2025,0.25
list1,8420.91.90,2016,0.0
list1,8420.91.90,2017,0.0
list1,8420.91.90,2018,0.125
list1,8420.91.90,2019,0.25
list1,8420.91.90,2020,0.25
list1,8420.91.90,2021,0.25
list1,8420.91.90,2022,0.25
list1,8420.91.90,2023,0.25
list1,8420.91.90,2024,0.25
list1,8420.91.90,2025,0.25
list1,8429.19.00,2016,0.0
list1,8429.19.00,2017,0.0
list1,8429.19.00,2018,0.125
list1,8429.19.00,2019,0.25
list1,8429.19.00,2020,0.25
list1,8429.19.00,2021,0.25
list1,8429.19.00,2022,0.25
list1,8429.19.00,2023,0.25
list1,8429.19.00,2024,0.25
list1,8429.19.00,2025,0.25
list1,8402.90.00,2016,0.0
list1,8402.90.00,2017,0.0
list1,8402.90.00,2018,0.125
list1,8402.90.00,2019,0.25
list1,8402.90.00,2020,0.25
list1,8402.90.00,2021,0.25
list1,8402.90.00,2022,0.25
list1,8402.90.00,2023,0.25
list1,8402.90.00,2024,0.25
list1,8402.90.00,2025,0.25
list1,8413.19.00,2016,0.0
list1,8413.19.00,2017,0.0
list1,8413.19.00,2018,0.125
list1,8413.19.00,2019,0.25
list1,8413.19.00,2020,0.25
list1,8413.19.00,2021,0.25
list1,8413.19.00,2022,0.25
list1,8413.19.00,2023,0.25
list1,8413.19.00,2024,0.25
list1,8413.19.00,2025,0.25
list1,8420.99.20,2016,0.0
list1,8420.99.20,2017,0.0
list1,8420.99.20,2018,0.125
list1,8420.99.20,2019,0.25
list1,8420.99.20,2020,0.25
list1,8420.99.20,2021,0.25
list1,8420.99.20,2022,0.25
list1,8420.99.20,2023,0.25
list1,8420.99.20,2024,0.25
list1,8420.99.20,2025,0.25
list1,8429.20.00,2016,0.0
list1,8429.20.00,2017,0.0
list1,8429.20.00,2018,0.125
list1,8429.20.00,2019,0.25
list1,8429.20.00,2020,0.25
list1,8429.20.00,2021,0.25
list1,8429.20.00,2022,0.25
list1,8429.20.00,2023,0.25
list1,8429.20.00,2024,0.25
list1,8429.20.00,2025,0.25
list1,8404.20.00,2016,0.0
list1,8404.20.00,2017,0.0
list1,8404.20.00,2018,0.125
list1,8404.20.00,2019,0.25
list1,8404.20.00,2020,0.25
list1,8404.20.00,2021,0.25
list1,8404.20.00,2022,0.25
list1,8404.20.00,2023,0.25
list1,8404.20.00,2024,0.25
list1,8404.20.00,2025,0.25
list1,8413.40.00,2016,0.0
list1,8413.40.00,2017,0.0
list1,8413.40.00,2018,0.125
list1,8413.40.00,2019,0.25
list1,8413.40.00,2020,0.25
list1,8413.40.00,2021,0.25
list1,8413.40.00,2022,0.25
list1,8413.40.00,2023,0.25
list1,8413.40.00,2024,0.25
list1,8413.40.00,2025,0.25
list1,8420.99.90,2016,0.0
list1,8420.99.90,2017,0.0
list1,8420.99.90,2018,0.125
list1,8420.99.90,2019,0.25
list1,8420.99.90,2020,0.25
list1,8420.99.90,2021,0.25
list1,8420.99.90,2022,0.25
list1,8420.99.90,2023,0.25
list1,8420.99.90,2024,0.25
list1,8420.99.90,2025,0.25
list1,8429.30.00,2016,0.0
list1,8429.30.00,2017,0.0
list1,8429.30.00,2018,0.125
list1,8429.30.00,2019,0.25
list1,8429.30.00,2020,0.25
list1,8429.30.00,2021,0.25
list1,8429.30.00,2022,0.25
list1,8429.30.00,2023,0.25
list1,8429.30.00,2024,0.25
list1,8429.30.00,2025,0.25
list1,8404.90.00,2016,0.0
list1,8404.90.00,2017,0.0
list1,8404.90.00,2018,0.125
list1,8404.90.00,2019,0.25
list1,8404.90.00,2020,0.25
list1,8404.90.00,2021,0.25
list1,8404.90.00,2022,0.25
list1,8404.90.00,2023,0.25
list1,8404.90.00,2024,0.25
list1,8404.90.00,2025,0.25
list1,8413.50.00,2016,0.0
list1,8413.50.00,2017,0.0
list1,8413.50.00,2018,0.125
list1,8413.50.00,2019,0.25
list1,8413.50.00,2020,0.25
list1,8413.50.00,2021,0.25
list1,8413.50.00,2022,0.25
list1,8413.50.00,2023,0.25
list1,8413.50.00,2024,0.25
list1,8413.50.00,2025,0.25
list1,8421.19.00,2016,0.0
list1,8421.19.00,2017,0.0
list1,8421.19.00,2018,0.125
list1,8421.19.00,2019,0.25
list1,8421.19.00,2020,0.25
list1,8421.19.00,2021,0.25
list1,8421.19.00,2022,0.25
list1,8421.19.00,2023,0.25
list1,8421.19.00,2024,0.25
list1,8421.19.00,2025,0.25
list1,8429.40.00,2016,0.0
list1,8429.40.00,2017,0.0
list1,8429.40.00,2018,0.125
list1,8429.40.00,2019,0.25
list1,8429.40.00,2020,0.25
list1,8429.40.00,2021,0.25
list1,8429.40.00,2022,0.25
list1,8429.40.00,2023,0.25
list1,8429.40.00,2024,0.25
list1,8429.40.00,2025,0.25
list1,8405.10.00,2016,0.0
list1,8405.10.00,2017,0.0
list1,8405.10.00,2018,0.125
list1,8405.10.00,2019,0.25
list1,8405.10.00,2020,0.25
list1,8405.10.00,2021,0.25
list1,8405.10.00,2022,0.25
list1,8405.10.00,2023,0.25
list1,8405.10.00,2024,0.25
list1,8405.10.00,2025,0.25
list1,8413.60.00,2016,0.0
list1,8413.60.00,2017,0.0
list1,8413.60.00,2018,0.125
list1,8413.60.00,2019,0.25
list1,8413.60.00,2020,0.25
list1,8413.60.00,2021,0.25
list1,8413.60.00,2022,0.25
list1,8413.60.00,2023,0.25
list1,8413.60.00,2024,0.25
list1,8413.60.00,2025,0.25
list1,8421.21.00,2016,0.0
list1,8421.21.00,2017,0.0
list1,8421.21.00,2018,0.125
list1,8421.21.00,2019,0.25
list1,8421.21.00,2020,0.25
list1,8421.21.00,2021,0.25
list1,8421.21.00,2022,0.25
list1,8421.21.00,2023,0.25
list1,8421.21.00,2024,0.25
list1,8421.21.00,2025,0.25
list1,8429.51.10,2016,0.0
list1,8429.51.10,2017,0.0
list1,8429.51.10,2018,0.125
list1,8429.51.10,2019,0.25
list1,8429.51.10,2020,0.25
list1,8429.51.10,2021,0.25
list1,8429.51.10,2022,0.25
list1,8429.51.10,2023,0.25
list1,8429.51.10,2024,0.25
list1,8429.51.10,2025,0.25
list1,8405.90.00,2016,0.0
list1,8405.90.00,2017,0.0
list1,8405.90.00,2018,0.125
list1,8405.90.00,2019,0.25
list1,8405.90.00,2020,0.25
list1,8405.90.00,2021,0.25
list1,8405.90.00,2022,0.25
list1,8405.90.00,2023,0.25
list1,8405.90.00,2024,0.25
list1,8405.90.00,2025,0.25
list1,8413.70.10,2016,0.0
list1,8413.70.10,2017,0.0
list1,8413.70.10,2018,0.125
