hts8,naics_str,import_value_2017_china,naics_import_total_2017_china,hs8_naics_weight
5903.20.10,313320,1.575743,401.888733,0.00392084393169589
5903.20.15,313320,2.069779,401.888733,0.00515012945137728
5903.20.18,313320,0.601202,401.888733,0.0014959414152075769
5903.20.20,313320,23.961718,401.888733,0.05962276628441833
5903.20.25,313320,33.928535,401.888733,0.08442270761544339
5903.20.30,313320,10.013219,401.888733,0.024915401149103622
5903.90.10,313320,4.538158,401.888733,0.011292075709920437
5903.90.15,313320,4.0799780000000005,401.888733,0.01015200891436785
5903.90.18,313320,0.768468,401.888733,0.0019121411895864223
5903.90.20,313320,4.947945,401.888733,0.012311728579860435
5903.90.25,313320,27.402155999999998,401.888733,0.0681834392207258
5903.90.30,313320,40.050587,401.888733,0.09965590899011344
5904.10.00,326199,0.021193,11977.059436,1.7694660457557073e-06
5904.90.10,326199,0.062104,11977.059436,5.185246039051217e-06
5904.90.90,326199,0.280381,11977.059436,2.340983623720242e-05
5905.00.10,322220,1.4325130000000001,988.745574,0.001448818621968365
5905.00.90,322220,3.515752,988.745574,0.0035557701520492467
5906.10.00,313320,34.034836,401.888733,0.0846872111739445
5906.91.10,313320,0.072188,401.888733,0.0001796218556841204
5906.91.20,313320,2.6451890000000002,401.888733,0.006581893899473913
5906.91.25,313320,0.132688,401.888733,0.0003301610348951982
5906.91.30,313320,0.054353,401.888733,0.00013524390095305308
5906.99.10,313320,0.5450699999999999,401.888733,0.0013562709159104492
5906.99.20,313320,9.526736,401.888733,0.023704909388440106
5906.99.25,313320,14.703907,401.888733,0.0365870097681987
5906.99.30,313320,5.843979,401.888733,0.014541285983252484
5907.00.05,339999,3.916463,6629.381365,0.0005907735253664955
5907.00.15,313320,0.459578,401.888733,0.001143545370305268
5907.00.25,339999,0.295889,6629.381365,4.4632973079834275e-05
5907.00.35,313320,0.27807400000000004,401.888733,0.0006919178796684505
5907.00.60,313320,9.524718,401.888733,0.023699888098131876
5907.00.80,313320,3.7199340000000003,401.888733,0.009256129108750108
5908.00.00,313220,0.546631,229.788995,0.002378838899573933
5909.00.10,313220,0.343533,229.788995,0.0014949932654520727
5909.00.20,313220,10.623406000000001,229.788995,0.04623113478519718
5910.00.10,313220,7.903534,229.788995,0.03439474549248975
5910.00.90,313220,1.207765,229.788995,0.005255974073083874
5911.10.10,313320,0.028953,401.888733,7.204232819336091e-05
5911.10.20,313320,5.061923,401.888733,0.012595334440490522
5911.20.10,313210,1.823794,874.327846,0.0020859383677916165
5911.20.20,313210,0.024922,874.327846,2.850418194275377e-05
5911.20.30,313210,2.0303139999999997,874.327846,0.002322142671411611
5911.31.00,313210,0.17496699999999998,874.327846,0.0002001160100304068
