sector_code,sector_name,summary_code,summary_name,underlying_summary_code,underlying_summary_name,detail_code,detail_name,go_detail_code,go_detail_name,notes,naics_2017
33DG,Durable goods,333,Machinery,33311,Agricultural implement manufacturing,333111,Farm machinery and equipment manufacturing,333111,Farm machinery and equipment manufacturing,,333111
33DG,Durable goods,333,Machinery,33311,Agricultural implement manufacturing,333112,Lawn and garden equipment manufacturing,333112,Lawn and garden equipment manufacturing,,333112
33DG,Durable goods,333,Machinery,33312,Construction machinery manufacturing,333120,Construction machinery manufacturing,333120,Construction machinery manufacturing,,33312
33DG,Durable goods,333,Machinery,33313,Mining and oil and gas field machinery manufacturing,333130,Mining and oil and gas field machinery manufacturing,333130,Mining and oil and gas field machinery manufacturing,,33313
33DG,Durable goods,333,Machinery,3332OM,Other machinery,333242,Semiconductor machinery manufacturing,333242,Semiconductor machinery manufacturing,,333242
33DG,Durable goods,333,Machinery,3332OM,Other machinery,33329A,Other industrial machinery manufacturing,33329A,Other industrial machinery manufacturing,,333241
33DG,Durable goods,333,Machinery,3332OM,Other machinery,33329A,Other industrial machinery manufacturing,33329A,Other industrial machinery manufacturing,,333243
33DG,Durable goods,333,Machinery,3332OM,Other machinery,33329A,Other industrial machinery manufacturing,33329A,Other industrial machinery manufacturing,,333244
33DG,Durable goods,333,Machinery,3332OM,Other machinery,33329A,Other industrial machinery manufacturing,33329A,Other industrial machinery manufacturing,,333249
33DG,Durable goods,333,Machinery,3332OM,Other machinery,333314,Optical instrument and lens manufacturing,333314,Optical instrument and lens manufacturing,,333314
33DG,Durable goods,333,Machinery,3332OM,Other machinery,333316,Photographic and photocopying equipment manufacturing,333316,Photographic and photocopying equipment manufacturing,,333316
33DG,Durable goods,333,Machinery,3332OM,Other machinery,333318,Other commercial and service industry machinery manufacturing,333318,Other commercial and service industry machinery manufacturing,,333318
33DG,Durable goods,333,Machinery,3332OM,Other machinery,333413,Industrial and commercial fan and blower and air purification equipment manufacturing,333413,Industrial and commercial fan and blower and air purification equipment manufacturing,,333413
33DG,Durable goods,333,Machinery,3332OM,Other machinery,333414,Heating equipment (except warm air furnaces) manufacturing,333414,Heating equipment (except warm air furnaces) manufacturing,,333414
33DG,Durable goods,333,Machinery,3332OM,Other machinery,333415,"Air conditioning, refrigeration, and warm air heating equipment manufacturing",333415,"Air conditioning, refrigeration, and warm air heating equipment manufacturing",,333415
33DG,Durable goods,333,Machinery,3332OM,Other machinery,333511,Industrial mold manufacturing,333511,Industrial mold manufacturing,,333511
33DG,Durable goods,333,Machinery,3332OM,Other machinery,333517,Machine tool manufacturing,333517,Machine tool manufacturing,,333517
33DG,Durable goods,333,Machinery,3332OM,Other machinery,333514,"Special tool, die, jig, and fixture manufacturing",333514,"Special tool, die, jig, and fixture manufacturing",,333514
33DG,Durable goods,333,Machinery,3332OM,Other machinery,33351B,"Cutting and machine tool accessory, rolling mill, and other metalworking machinery manufacturing",33351B,"Cutting and machine tool accessory, rolling mill, and other metalworking machinery manufacturing",,333515
33DG,Durable goods,333,Machinery,3332OM,Other machinery,33351B,"Cutting and machine tool accessory, rolling mill, and other metalworking machinery manufacturing",33351B,"Cutting and machine tool accessory, rolling mill, and other metalworking machinery manufacturing",,333519
33DG,Durable goods,333,Machinery,3332OM,Other machinery,333611,Turbine and turbine generator set units manufacturing,333611,Turbine and turbine generator set units manufacturing,,333611
33DG,Durable goods,333,Machinery,3332OM,Other machinery,333612,"Speed changer, industrial high-speed drive, and gear manufacturing",333612,"Speed changer, industrial high-speed drive, and gear manufacturing",,333612
33DG,Durable goods,333,Machinery,3332OM,Other machinery,333613,Mechanical power transmission equipment manufacturing,333613,Mechanical power transmission equipment manufacturing,,333613
33DG,Durable goods,333,Machinery,3332OM,Other machinery,333618,Other engine equipment manufacturing,333618,Other engine equipment manufacturing,,333618
