naics_str,year,tariff_301_direct,targeted_import_share_2017_china,china_import_value_2017,n_hs8_total,n_hs8_targeted
112420,2016.0,0.0,1.0,0.03345,3.0,0.0
112420,2017.0,0.0,1.0,0.03345,3.0,0.0
112420,2018.0,0.03333333333333334,1.0,0.03345,3.0,3.0
112420,2019.0,0.2,1.0,0.03345,3.0,3.0
112420,2020.0,0.25,1.0,0.03345,3.0,3.0
112420,2021.0,0.25,1.0,0.03345,3.0,3.0
112420,2022.0,0.25,1.0,0.03345,3.0,3.0
112420,2023.0,0.25,1.0,0.03345,3.0,3.0
112420,2024.0,0.25,1.0,0.03345,3.0,3.0
112420,2025.0,0.25,1.0,0.03345,3.0,3.0
112511,2016.0,0.0,1.0,2.312622,3.0,0.0
112511,2017.0,0.0,1.0,2.312622,3.0,0.0
112511,2018.0,0.03333333333333333,1.0,2.312622,3.0,3.0
112511,2019.0,0.19999999999999998,1.0,2.312622,3.0,3.0
112511,2020.0,0.25,1.0,2.312622,3.0,3.0
112511,2021.0,0.25,1.0,2.312622,3.0,3.0
112511,2022.0,0.25,1.0,2.312622,3.0,3.0
112511,2023.0,0.25,1.0,2.312622,3.0,3.0
112511,2024.0,0.25,1.0,2.312622,3.0,3.0
112511,2025.0,0.25,1.0,2.312622,3.0,3.0
112910,2016.0,0.0,1.0,0.0083,1.0,0.0
112910,2017.0,0.0,1.0,0.0083,1.0,0.0
112910,2018.0,0.03333333333333333,1.0,0.0083,1.0,1.0
112910,2019.0,0.19999999999999998,1.0,0.0083,1.0,1.0
112910,2020.0,0.25,1.0,0.0083,1.0,1.0
112910,2021.0,0.25,1.0,0.0083,1.0,1.0
112910,2022.0,0.25,1.0,0.0083,1.0,1.0
112910,2023.0,0.25,1.0,0.0083,1.0,1.0
112910,2024.0,0.25,1.0,0.0083,1.0,1.0
112910,2025.0,0.25,1.0,0.0083,1.0,1.0
112920,2016.0,0.0,1.0,1.232056,2.0,0.0
112920,2017.0,0.0,1.0,1.232056,2.0,0.0
112920,2018.0,0.07465991805567278,1.0,1.232056,2.0,2.0
112920,2019.0,0.05122429499957794,1.0,1.232056,2.0,2.0
112920,2020.0,0.07642834416617425,1.0,1.232056,2.0,2.0
112920,2021.0,0.07642834416617425,1.0,1.232056,2.0,2.0
112920,2022.0,0.07642834416617425,1.0,1.232056,2.0,2.0
112920,2023.0,0.07642834416617425,1.0,1.232056,2.0,2.0
