naics,naics_str,naics_desc,R0_2017,S0_2017,E0_2017,T0_2017,R0_2018,S0_2018,E0_2018,T0_2018,R0,S0,E0,T0
980.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
990.0,,,0.0,0.0,0.0,0.0,2.165700932621506e-05,0.0002379087622368375,0.00020876247701365663,0.0002965573047452998,2.165701e-05,0.00023790877,0.00020876247,0.0002965573
1132.0,1132,Forest Nurseries and Gathering of Forest Products,0.0,1.9907802563799684e-06,1.8437265962065616e-06,0.0,0.0029876972633839046,0.0004509342542096267,0.0003201735835729312,0.0005656816389175607,0.0029876973,0.00044894347,0.00031832987,0.00056568166
1133.0,1133,Logging,0.0,0.0,0.0,0.0,0.012345417351817415,0.0081723714951577,0.007148196884403419,0.008790286484516123,0.012345417,0.008172371,0.007148197,0.008790286
1141.0,1141,Fishing,0.0,0.00039863551011887834,0.00045609078789152294,0.0,0.054738033703577424,0.009081192196630571,0.008227443154601735,0.010854542483068781,0.054738034,0.008682556,0.0077713523,0.010854542
2111.0,2111,Oil and Gas Extraction,0.0,0.0,0.0,0.0,0.008291973996406745,4.3427119589012345e-07,3.0896577817912087e-07,4.6501204875512217e-07,0.008291974,4.342712e-07,3.0896578e-07,4.6501205e-07
2121.0,2121,Coal Mining,0.0,0.0,0.0,0.0,0.005887250974751131,0.00017310428558670867,6.431488848901045e-06,0.00023158384564487088,0.005887251,0.00017310429,6.431489e-06,0.00023158385
2122.0,2122,Metal Ore Mining,0.0,0.0,0.0,0.0,0.004441968721288325,5.171701140774955e-05,4.266774996583919e-05,6.412350673051175e-05,0.0044419686,5.1717012e-05,4.266775e-05,6.412351e-05
2123.0,2123,Nonmetallic Mineral Mining and Quarrying,0.0,9.41359819149797e-05,7.70478621645985e-05,0.0,0.008863251560486767,0.0020076652885266427,0.0014529217345360629,0.0024284270072254706,0.008863252,0.0019135294,0.0013758739,0.002428427
3111.0,3111,Animal Food Manufacturing,0.0,0.00026340242396947133,0.00024301580639008303,0.0,0.0033865347903628707,0.014024069259853025,0.011880039417236152,0.017281122007124713,0.0033865348,0.013760667,0.011637024,0.017281123
3112.0,3112,Grain and Oilseed Milling,0.0,0.00020473413016304214,0.000219899554602037,0.0,0.0016752502373492532,0.0013400059148415988,0.0011104786728461584,0.0013935636948622502,0.0016752502,0.0011352717,0.00089057913,0.0013935637
3113.0,3113,Sugar and Confectionery Product Manufacturing,0.0,0.0011165067023547008,0.0010468357650817732,0.0,0.016937278935405836,0.0027492911618375152,0.002503388453660381,0.0020430610817197678,0.016937278,0.0016327845,0.0014565527,0.0020430612
3114.0,3114,Fruit and Vegetable Preserving and Specialty Food Manufacturing,0.0,0.006297572781959415,0.005914292758542786,0.0,0.03367114070039405,0.017359396325944274,0.015396587470581358,0.013536855047832658,0.03367114,0.011061824,0.009482294,0.013536855
3115.0,3115,Dairy Product Manufacturing,0.0,0.0022224827260061103,0.002040590495344975,0.0,0.009478155876488235,0.0050990817733260795,0.004557298125126272,0.003547053238027697,0.0094781555,0.002876599,0.0025167076,0.0035470533
3116.0,3116,Animal Slaughtering and Processing,0.0,5.22102323314562e-07,5.13691078773557e-07,0.0,0.023366769960446978,5.3126313868866315e-05,2.9073917729341588e-05,7.388741710515955e-05,0.02336677,5.2604213e-05,2.8560227e-05,7.3887415e-05
3117.0,3117,Seafood Product Preparation and Packaging,0.0,0.0027409313504305113,0.0025231940401027266,0.0,0.00012999944312136637,0.019096966616442806,0.01708706058234558,0.020265058509422052,0.00012999945,0.016356036,0.014563867,0.020265058
3118.0,3118,Bakeries and Tortilla Manufacturing,0.0,0.0,0.0,0.0,0.03751635526599397,0.001576040436772674,0.0012902538304814602,0.0019700519895078776,0.037516356,0.0015760404,0.0012902538,0.001970052
3119.0,3119,Other Food Manufacturing,0.0,0.0011522718737349855,0.0011649708057590968,0.0,0.018376357980133123,0.002885306248144995,0.0026806153636655117,0.002163509384442691,0.018376358,0.0017330344,0.0015156446,0.0021635094
3121.0,3121,Beverage Manufacturing,0.0,0.0,3.07615199587192e-06,0.0,0.04812054512238176,0.0001436218734853527,0.00012456313581265497,0.00017945706809626905,0.048120543,0.00014362187,0.000121486984,0.00017945707
3122.0,3122,Tobacco Manufacturing,0.0,0.0,1.3631002348432565e-05,0.0,0.002552520124180208,0.001001972054637821,7.510904607124417e-05,0.0012521999661184152,0.00255252,0.001001972,6.1478044e-05,0.0012522
3131.0,3131,"Fiber, Yarn, and Thread Mills",0.0,0.012014666377675743,0.011591745594784618,0.0,0.005665444266247471,0.024192717324070717,0.022726431117850592,0.01516434457118092,0.0056654443,0.012178051,0.011134686,0.015164345
3132.0,3132,Fabric Mills,0.0,0.017886490699255953,0.01663246527135458,0.0,0.003529476996963109,0.038277676290049106,0.034921688449079925,0.02550149144154749,0.003529477,0.020391185,0.018289223,0.025501492
3133.0,3133,Textile and Fabric Finishing and Fabric Coating Mills,0.0,0.007677127758806037,0.006879835992208261,0.0,0.00599647175471771,0.028688712472650188,0.024542153509659333,0.026276612223675524,0.0059964717,0.021011585,0.017662318,0.026276613
3141.0,3141,Textile Furnishings Mills,0.0,0.0015462435064456416,0.0014503250856903278,0.0,0.011750596101438457,0.005015680421336254,0.004504804569915871,0.004304747029266269,0.011750596,0.003469437,0.0030544794,0.004304747
3149.0,3149,Other Textile Product Mills,0.0,0.011789340244395886,0.011458225341137204,0.0,0.0017990070584983438,0.02360987283883302,0.021431308631030918,0.014771550130790258,0.0017990071,0.011820532,0.009973084,0.01477155
3151.0,3151,Apparel Knitting Mills,0.0,0.0013130368432372628,0.010212336201917952,0.0,0.0004763658884566516,0.011905199875106635,0.0201652678887194,0.013240592245920542,0.00047636588,0.010592163,0.009952932,0.013240593
3152.0,3152,Cut and Sew Apparel Manufacturing,0.0,0.00034927309261847185,0.0003440352911015627,0.0,0.008799918223049367,0.0009507906429581442,0.0008896350498900747,0.000751956690516619,0.008799918,0.00060151756,0.00054559973,0.0007519567
