Series_ID,Year,Month,Value
CUUR0000SAM,2024,4,561.612
CUUR0000SAM,2024,3,559.935
CUUR0000SAM,2024,2,557.236
CUUR0000SAM,2024,1,557.215
CUUR0000SAM,2023,12,553.485
CUUR0000SAM,2023,11,551.769
CUUR0000SAM,2023,10,549.762
CUUR0000SAM,2023,9,548.431
CUUR0000SAM,2023,8,548.082
CUUR0000SAM,2023,7,546.698
CUUR0000SAM,2023,6,547.432
CUUR0000SAM,2023,5,547.42
CUUR0000SAM,2023,4,547.219
CUUR0000SAM,2023,3,547.805
CUUR0000SAM,2023,2,549.487
CUUR0000SAM,2023,1,551.422
CUUR0000SAM,2022,12,551.002
CUUR0000SAM,2022,11,550.844
CUUR0000SAM,2022,10,554.043
CUUR0000SAM,2022,9,556.323
CUUR0000SAM,2022,8,553.429
CUUR0000SAM,2022,7,549.562
CUUR0000SAM,2022,6,546.717
CUUR0000SAM,2022,5,543.488
CUUR0000SAM,2022,4,541.515
CUUR0000SAM,2022,3,539.739
CUUR0000SAM,2022,2,536.932
CUUR0000SAM,2022,1,535.048
CUUR0000SAM,2021,12,530.026
CUUR0000SAM,2021,11,528.877
CUUR0000SAM,2021,10,527.564
CUUR0000SAM,2021,9,524.818
CUUR0000SAM,2021,8,525.247
CUUR0000SAM,2021,7,524.219
CUUR0000SAM,2021,6,522.989
CUUR0000SAM,2021,5,523.918
CUUR0000SAM,2021,4,524.585
CUUR0000SAM,2021,3,524.734
CUUR0000SAM,2021,2,524.207
CUUR0000SAM,2021,1,522.133
CUUR0000SAM,2020,12,518.766
CUUR0000SAM,2020,11,519.848
CUUR0000SAM,2020,10,520.725
CUUR0000SAM,2020,9,522.528
CUUR0000SAM,2020,8,523.295
CUUR0000SAM,2020,7,522.686
CUUR0000SAM,2020,6,520.734
CUUR0000SAM,2020,5,519.194
CUUR0000SAM,2020,4,517.053
CUUR0000SAM,2020,3,515.605
CUUR0000SAM,2020,2,513.923
CUUR0000SAM,2020,1,512.149
CUUR0000SAM,2019,12,509.689
CUUR0000SAM,2019,11,507.541
CUUR0000SAM,2019,10,506.1
CUUR0000SAM,2019,9,501.468
CUUR0000SAM,2019,8,500.916
CUUR0000SAM,2019,7,497.687
CUUR0000SAM,2019,6,495.563
CUUR0000SAM,2019,5,494.928
CUUR0000SAM,2019,4,493.331
CUUR0000SAM,2019,3,492.306
CUUR0000SAM,2019,2,491.227
CUUR0000SAM,2019,1,490.204
CUUR0000SAM,2018,12,487.409
CUUR0000SAM,2018,11,486.886
CUUR0000SAM,2018,10,485.269
CUUR0000SAM,2018,9,484.708
CUUR0000SAM,2018,8,484.172
